,n1,n2,n3,per_day_count,per_day_change_volume,per_day_change_money,per_count_change_time,performance,drawback,money
115,2,10,5,3,1324200.9132420078,6653762.940353059,28.778761061946902,-2.8120170075669915,3.0565793262726917,20000000
116,2,10,6,3,1259425.5328501153,6330410.792003052,28.293577981651374,-4.83701156718066,5.4763347319158955,10000000
117,2,10,6,3,1278538.8127853868,6427830.367305529,28.513761467889907,-2.477276469466949,2.8035801648847345,20000000
118,2,10,7,3,1190762.0546107653,5976527.858861539,26.446601941747574,-3.923728990390618,4.804184854506242,10000000
119,2,10,7,3,1210045.6621004557,6074795.626131818,26.796116504854368,-2.0065878692252404,2.454847878132559,20000000
120,3,1,5,3,8127392.506226218,40932735.988060325,30.579261025029798,-3.2752642089643125,10.19103896575302,10000000
121,3,1,5,3,8545350.51600307,43038655.760749094,31.66626936829559,-1.674221264029907,5.224244607929587,20000000
122,3,1,6,3,5394329.34899807,27125364.96653193,38.52760736196319,-1.9235468675966594,8.831546840826421,10000000
123,3,1,6,3,5844324.394084579,29402522.5739062,40.441717791411044,-2.1678430490969736,5.093684864101931,20000000
124,3,1,7,3,3429232.677032854,17264606.357502762,61.91362126245847,2.8438138124198042,6.443677442404591,10000000
125,3,1,7,3,3645532.3384584207,18354595.804183707,63.946843853820596,1.7130850113294738,3.0052349984070474,20000000
126,3,2,5,3,9182395.117027305,46241029.420427136,26.89769585253456,-3.022842310544871,8.836667683784217,10000000
127,3,2,5,3,9588814.698449232,48277140.21186316,27.572350230414745,-1.4395874742745396,4.688467913663857,20000000
128,3,2,6,3,7163818.819427285,36021943.54871523,25.872340425531913,0.29007059875783003,8.340305590715651,10000000
129,3,2,6,3,7781691.977015871,39138809.72244129,27.48936170212766,0.8937602415076906,4.4234363742503895,20000000
130,3,2,7,3,5354604.637603146,26908525.09238496,59.85245901639344,1.7347432961251963,7.660375838003267,10000000
131,3,2,7,3,5921451.844424111,29781581.6512651,62.4344262295082,0.21451023939784708,4.432287713484776,20000000
132,3,3,5,3,9535413.06292573,48004552.37942762,24.247116968698517,-15.951796720331291,17.534603179149116,10000000
133,3,3,5,3,9844290.942436725,49552658.92964475,24.672158154859968,-6.828241057593132,7.865731433110312,20000000
134,3,3,6,3,8287172.152635447,41685924.598390415,30.638297872340427,-6.386473238336309,11.63705919077518,10000000
135,3,3,6,3,8849409.126189437,44523130.21240062,38.11347517730496,-3.9756577119525183,6.941583374956865,20000000
136,3,3,7,3,6453566.901287973,32429577.245197896,45.62033898305085,-4.666757005661126,10.716837971739364,10000000
137,3,3,7,3,6977875.409591446,35068413.534920484,47.9593220338983,-2.6962127417335613,6.025785608124902,20000000
138,3,4,5,3,9667008.068890989,48672822.02114771,34.13513513513514,-15.506084410608933,17.57250545983133,10000000
139,3,4,5,3,9918656.544091135,49933516.35170819,34.55067567567568,-7.633165202153769,8.991582920284555,20000000
140,3,4,6,3,8864394.551996736,44610334.28296198,35.6327868852459,-11.327912563038634,13.729227035772992,10000000
141,3,4,6,3,9259657.548833067,46619344.37097838,36.22295081967213,-7.511165212411419,8.550500145229202,20000000
142,3,4,7,3,7484777.668078811,37637126.915975034,34.506512301013025,-10.261001925888102,12.039620726181306,10000000
143,3,4,7,3,7981195.325724936,40145294.17566381,35.98263386396527,-6.155655552585094,7.203811651859786,20000000
144,3,5,5,3,9400655.897168009,47321690.991110325,32.4765478424015,-11.5514213538905,13.862418669162416,10000000
145,3,5,5,3,9654688.01909617,48601997.085125305,33.073170731707314,-5.02363396818094,7.138411110894414,20000000
146,3,5,6,3,8585300.166481089,43218712.30521365,36.45569620253165,-8.612383458238593,10.255040933886685,10000000
147,3,5,6,3,9084179.393384643,45751889.08462183,37.75373993095512,-5.921352613982145,6.619585056684128,20000000
148,3,5,7,3,7506334.471315725,37741433.563694805,42.55172413793103,-12.758904346548727,14.83206646173563,10000000
149,3,5,7,3,8038100.290224158,40440497.464698546,43.98275862068966,-8.127293837011795,9.141286393937524,20000000
150,3,6,5,3,8363592.246400538,42068214.19991952,37.68370986920333,-17.7872157187172,19.30533322675597,10000000
151,3,6,5,3,8624040.739144437,43395006.74600202,38.582639714625444,-8.731983111781593,9.58620648402326,20000000
152,3,6,6,3,7482723.112794475,37646598.61245772,50.52539912917271,-6.147642877757176,11.005971078130356,10000000
153,3,6,6,3,7832028.604112341,39424901.41453201,51.55297532656023,-5.000202670067544,6.086747539546554,20000000
154,3,6,7,3,6532542.366948743,32857674.67416967,46.05460750853242,-7.829052515299118,12.206967781915717,10000000
155,3,6,7,3,6916272.83061163,34800023.162911385,47.262798634812285,-6.298616186480843,7.370760946897124,20000000
156,3,7,5,3,7115136.99499564,35787273.93334847,44.373831775700936,-23.611509475691093,25.711540910165244,10000000
157,3,7,5,3,7289546.842831228,36670307.88093624,45.36448598130841,-12.442137294053435,13.466563509103885,20000000
158,3,7,6,3,5928115.783239791,29805739.46041004,58.69662921348315,-8.950184438651954,15.399338592549675,10000000
159,3,7,6,3,6239497.117851698,31386301.560784843,60.13483146067416,-5.197228084931305,7.924680713867073,20000000
160,3,7,7,3,5271433.847407044,26506537.899222557,28.506437768240342,-5.707986627661676,12.081209621354008,10000000
161,3,7,7,3,5554331.302565255,27932365.09473871,41.201716738197426,-4.969385383685198,7.372330956936447,20000000
162,3,8,5,3,5522599.360864937,27801113.62670953,49.67272727272727,-14.423701790646371,17.355908220521965,10000000
163,3,8,5,3,5762265.809698134,29003159.8731949,50.86060606060606,-7.875982365321854,9.50573832279657,20000000
164,3,8,6,3,4708449.742164904,23696444.03151439,66.62559241706161,-5.454036239189919,12.516512423501752,10000000
165,3,8,6,3,5022831.050228297,25276937.193524133,68.18957345971565,-3.2727269616898536,6.791439012204285,20000000
166,3,8,7,3,4383066.856510086,22042335.709624164,42.04651162790697,-7.666426115120595,12.70060845252163,10000000
167,3,8,7,3,4680365.296803648,23535382.590317562,43.41085271317829,-3.9513444401503395,6.468017442963009,20000000
168,3,9,5,3,4356767.695521109,21944647.021627866,42.110236220472444,-9.536409009789637,12.815928328776446,10000000
169,3,9,5,3,4452054.794520548,22424112.02506996,43.05511811023622,-4.808834822273733,6.761316412240345,20000000
170,3,9,6,3,3832648.3139688848,19301381.158470854,44.92035398230089,-4.041174855235818,7.139223366515254,10000000
171,3,9,6,3,4018264.840182657,20235538.213879414,46.30088495575221,-2.5283031136668077,4.182338806683844,20000000
172,3,9,7,3,3601345.1817828207,18117523.199442055,44.20062695924765,-6.432586998992185,8.345193786079685,10000000
173,3,9,7,3,3797750.5921464944,19107456.19620143,45.66771159874608,-3.4027277373434583,4.292562896863021,20000000
174,3,10,5,3,3327056.2978567183,16773607.340310005,26.968641114982578,-5.859603919349632,10.207992928790434,10000000
175,3,10,5,3,3378995.433789966,17029007.98345782,27.554006968641115,-2.8853762124042004,5.179170012359088,20000000
176,3,10,6,3,2951207.531356158,14876415.576112613,28.0,1.3763316718744534,4.5122862831743165,10000000
177,3,10,6,3,3036529.680365306,15297978.539298058,28.6046511627907,0.4570055707761256,2.4613141281059443,20000000
178,3,10,7,3,2704311.4152625296,13619748.867020387,48.0,1.9013310168606523,3.4670738667256487,10000000
179,3,10,7,3,2808219.1780821993,14137538.611427289,48.6,0.73714150421611,1.7747981634022427,20000000
180,4,1,5,3,8674636.32773427,43673469.949462414,34.275077559462254,-0.2896353788080952,8.330449230515336,10000000
181,4,1,5,3,9166234.728502098,46158664.63742012,35.19338159255429,-0.4167203956908949,4.225154073798795,20000000
182,4,1,6,3,6606032.563161288,33238218.86537147,36.889621087314666,-3.072310785702881,8.877525645639823,10000000
183,4,1,6,3,7111605.621221758,35792614.31376397,38.787479406919275,-2.0774349835445127,5.0784955385850115,20000000
184,4,1,7,3,4341654.686725443,21827363.810045622,41.96875,1.4730831036565029,6.923823380963988,10000000
185,4,1,7,3,4693112.586265411,23598367.15776441,44.40625,0.7926430194964196,3.6053082624556927,20000000
186,4,2,5,3,9323723.542377038,46941252.71526643,25.809938971229293,-12.636971156239674,13.942660305925905,10000000
187,4,2,5,3,9702647.013457226,48850140.308698036,26.395815170008717,-5.779392508035763,6.54210133505337,20000000
188,4,2,6,3,7780242.2451291,39158171.81482581,31.175879396984925,-9.658927984696053,13.868875660475902,10000000
189,4,2,6,3,8311149.12088933,41838927.00464815,32.231155778894475,-5.546237020972111,7.255756140282359,20000000
190,4,2,7,3,5953886.497500219,29947124.93717392,45.65745856353591,-6.3934848585913695,10.62895737408737,10000000
191,4,2,7,3,6448783.528491003,32442049.186525386,47.77900552486188,-3.4290099286186315,6.1386687128534785,20000000
192,4,3,5,3,9534273.207193073,48000804.28986171,28.672212978369384,-22.475504032430248,23.58748419412013,10000000
193,4,3,5,3,9886029.537989272,49760588.843955755,29.231281198003327,-10.99094501296075,11.544209152995386,20000000
194,4,3,6,3,8452152.980876584,42513542.074975684,30.0,-8.437101815209779,13.280210687374677,10000000
195,4,3,6,3,9005005.362315727,45318494.932963915,37.10706150341686,-6.372001985064002,8.627607269850527,20000000
196,4,3,7,3,6855329.210789349,34462391.30329826,43.80564263322884,-6.970177341270367,11.759040457973834,10000000
197,4,3,7,3,7368239.143431601,37047661.096036725,45.32915360501568,-3.3382703926524093,5.979007145134564,20000000
198,4,4,5,3,9588096.97344256,48265144.393825546,29.473861720067454,-13.430787955224643,14.770990888320595,10000000
199,4,4,5,3,9846106.2970659,49556128.068028845,30.20236087689713,-5.704848872548474,7.053299999878769,20000000
200,4,4,6,3,8631205.103371663,43439793.77430145,30.14864864864865,-3.475975707413792,8.682761357873497,10000000
201,4,4,6,3,9163364.5847428,46137581.62992145,31.324324324324323,-3.268087463208247,6.042302772058586,20000000
