date,open,close,high,low,volume,money
2007-02-27,3048.83,2771.79,3049.77,2763.39,16137566300,1.29E+11
2007-02-28,2734.59,2881.07,2888.9,2732.88,12147916800,95421808405
2007-03-01,2877.2,2797.19,2878.36,2760.91,12736486000,1.07E+11
2007-03-02,2792.94,2831.53,2846.16,2777.8,9394396500,74931594366
2007-03-05,2827.68,2785.31,2858.44,2723.07,10691058400,84960180835
2007-03-06,2776.17,2840.18,2866.33,2756.96,7704048600,63993290649
2007-03-07,2851.75,2896.59,2911.42,2849.65,8791393000,73844900602
2007-03-08,2904.18,2928.01,2928.8,2871.46,8895512300,73782479702
2007-03-09,2934.49,2937.91,2962.42,2891.81,10713910500,89725963574
2007-03-12,2945.92,2954.91,2958.63,2904.74,10154244400,85496576407
2007-03-13,2958.1,2964.79,2966.19,2932.23,10718931600,88657286547
2007-03-14,2933.68,2906.33,2934.45,2868.81,11373073900,93829876741
2007-03-15,2905.98,2951.7,2955.46,2905.98,10174575400,86641125793
2007-03-16,2964.09,2930.48,2979.71,2899.03,12268130800,1.05E+11
2007-03-19,2864.26,3014.44,3038,2852.86,10997175200,94819910144
2007-03-20,3024.78,3032.2,3033.02,2998.8,9276189000,81627441312
2007-03-21,3042.1,3057.38,3057.71,3020.95,9919012700,89306939158
2007-03-22,3080.6,3071.22,3099.82,3059.38,12606554500,1.13E+11
2007-03-23,3071.81,3074.29,3085.32,3008.15,11868641700,1.05E+11
2007-03-26,3083.94,3122.81,3123.18,3069.47,12266053700,1.10E+11
2007-03-27,3126.03,3138.83,3145.04,3103.78,12457893100,1.14E+11
2007-03-28,3140.68,3173.02,3180.33,3052.08,16726793900,1.51E+11
2007-03-29,3179.8,3197.54,3273.73,3176.53,14953966100,1.40E+11
2007-03-30,3178.5,3183.98,3212.39,3157.03,8942400600,82999416766
2007-04-02,3196.59,3252.59,3253.43,3196.59,9735044600,93299356849
2007-04-03,3265.68,3291.3,3292.58,3251.52,10860139100,1.07E+11
2007-04-04,3295.98,3291.54,3308.15,3266.56,11261610700,1.13E+11
2007-04-05,3286.16,3319.14,3326.92,3259.63,11452805100,1.14E+11
2007-04-06,3287.68,3323.59,3334.22,3273.86,11964488100,1.22E+11
2007-04-09,3333.42,3398.95,3399.51,3333.26,13731410400,1.40E+11
2007-04-10,3405.23,3444.29,3444.37,3351.11,14780728400,1.53E+11
2007-04-11,3454.42,3495.22,3497.52,3428.78,14757211400,1.56E+11
